Date,Open,High,Low,Close,Adj Close,Volume
2010-10-15,3619.466064,3619.466064,3584.787109,3597.031006,3596.924316,5009432000
2010-10-18,3596.839111,3596.839111,3557.274902,3566.917969,3566.812012,4979560800
2010-10-19,3567.412109,3599.820068,3567.412109,3592.788086,3592.681396,6402066000
2010-10-20,3592.500000,3592.500000,3537.089111,3578.954102,3578.847900,8215756800
2010-10-21,3579.145996,3610.559082,3579.145996,3588.010010,3587.903564,6801237600
2010-10-22,3588.750977,3605.214111,3582.811035,3597.745117,3597.638428,0
2010-10-25,3598.206055,3644.719971,3598.206055,3643.490967,3643.382813,5132139600
2010-10-26,3643.107910,3661.196045,3638.063965,3654.102051,3653.993652,5365696800
2010-10-27,3652.186035,3667.013916,3602.122070,3624.467041,3624.359375,5116058000
2010-10-28,3623.892090,3643.523926,3614.634033,3638.825928,3638.717773,4319594400
2010-10-29,3639.208984,3647.564941,3615.224121,3635.323975,3635.216064,0
2010-11-01,3635.516113,3663.785889,3621.563965,3645.146973,3645.038818,3816828800
2010-11-02,3644.175049,3648.261963,3616.368896,3625.488037,3625.380371,4937412400
2010-11-03,3625.679932,3641.732910,3590.374023,3605.673096,3605.566162,4733708400
2010-11-04,3605.864990,3633.691895,3604.719971,3629.045898,3628.938232,4166956400
2010-11-05,3629.716064,3665.849121,3629.716064,3655.304932,3655.196289,0
2010-11-08,3655.400879,3700.538086,3654.480957,3699.262939,3699.153076,4132028800
2010-11-09,3699.154053,3742.771973,3689.747070,3737.483887,3737.373047,5958764000
2010-11-10,3738.055908,3759.477051,3731.191895,3756.967041,3756.855469,7133078400
2010-11-11,3757.346924,3777.917969,3721.893066,3744.617920,3744.506836,7827450400
2010-11-12,3744.522949,3744.534912,3633.417969,3665.845947,3665.737061,5873794400
2010-11-15,3665.085938,3674.568115,3633.148926,3656.461914,3656.353271,5709874400
2010-11-16,3656.937012,3682.795898,3637.904053,3674.027100,3673.917969,6785582400
2010-11-18,3673.551025,3682.365967,3641.166016,3677.904053,3677.794922,1378319800
2010-11-19,3678.474121,3725.048096,3678.474121,3725.048096,3724.937500,0
2010-11-22,3725.333008,3742.944092,3707.895020,3741.229004,3741.117920,5456269600
2010-11-23,3741.039063,3741.039063,3658.576904,3678.194092,3678.084961,6738528800
2010-11-24,3677.624023,3684.154053,3619.881104,3658.777100,3658.668457,5433060400
2010-11-25,3659.156982,3710.943115,3659.156982,3702.012939,3701.903076,8582908000
2010-11-26,3701.918945,3710.459961,3632.094971,3642.500000,3642.391846,0
2010-11-29,3642.876953,3642.876953,3573.220947,3630.635986,3630.528320,5040149600
2010-11-30,3631.540039,3633.989990,3529.854004,3531.210938,3531.106201,7971277600
2010-12-01,3530.926025,3619.093994,3530.926025,3619.093994,3618.986572,6650826400
2010-12-02,3619.847900,3706.397949,3619.847900,3694.580078,3694.470215,6517826000
2010-12-03,3694.674072,3728.093018,3679.834961,3696.260010,3696.150146,0
2010-12-06,3696.729004,3728.967041,3696.729004,3722.346924,3722.236572,3978473600
2010-12-08,3722.908936,3771.787109,3722.908936,3769.992920,3769.880859,4307844800
2010-12-09,3771.487061,3788.564941,3764.288086,3786.096924,3785.984375,4779156400
2010-12-10,3784.656982,3784.656982,3728.983887,3747.714111,3747.603027,0
2010-12-13,3747.806885,3751.933105,3681.323975,3692.231934,3692.122314,3796614400
2010-12-14,3692.418945,3712.334961,3676.727051,3689.666016,3689.556641,3575431200
2010-12-15,3691.114014,3691.114014,3613.673096,3658.313965,3658.205322,4148304000
2010-12-16,3657.474121,3657.474121,3554.847900,3571.738037,3571.632080,4014741600
2010-12-17,3571.458008,3601.849121,3536.662109,3581.564941,3581.458496,0
2010-12-20,3589.149902,3591.290039,3537.667969,3568.810059,3568.704102,3577988800
2010-12-21,3569.462891,3642.095947,3569.462891,3637.446045,3637.337891,2553375000
2010-12-22,3637.686035,3649.980957,3610.565918,3620.684082,3620.576416,2244739000
2010-12-23,3621.632080,3626.118896,3587.992920,3611.531006,3611.423828,1978708400
2010-12-27,3611.998047,3626.247070,3601.477051,3625.266113,3625.158447,1867137000
2010-12-28,3625.731934,3672.177979,3623.831055,3659.992920,3659.884277,2007659600
2010-12-29,3660.085938,3704.004883,3660.085938,3699.217041,3699.107178,1890248400
2010-12-30,3698.937988,3718.982910,3689.032959,3703.511963,3703.402100,2050353600
2011-01-03,3704.440918,3738.589111,3704.440918,3727.517090,3727.406494,3520581600
2011-01-04,3727.795898,3763.383057,3724.471924,3760.061035,3759.949463,5313560000
2011-01-05,3759.968994,3786.054932,3728.910889,3783.708984,3783.596680,3361071600
2011-01-06,3782.992920,3789.472900,3720.572998,3736.257080,3736.146240,2883186000
2011-01-07,3734.372070,3734.372070,3607.325928,3631.452881,3631.345215,0
2011-01-10,3631.267090,3631.267090,3449.580078,3478.549072,3478.445801,4548080400
2011-01-11,3478.079102,3550.361084,3434.270020,3455.126953,3455.024414,3844107200
2011-01-12,3455.408936,3555.385986,3455.408936,3554.766113,3554.660645,5035815200
2011-01-13,3555.330078,3630.684082,3549.008057,3564.937012,3564.831055,4328449600
2011-01-14,3564.652100,3569.644043,3518.563965,3569.144043,3569.038086,0
2011-01-17,3568.768066,3569.971924,3506.874023,3535.730957,3535.625977,2020687600
2011-01-18,3536.200928,3548.693115,3507.968994,3548.648926,3548.543457,2762792400
2011-01-19,3548.836914,3558.666992,3513.040039,3517.274902,3517.170654,2502242000
2011-01-20,3534.001953,3534.001953,3441.629883,3454.117920,3454.015381,3013500000
2011-01-21,3453.271973,3453.271973,3309.615967,3379.542969,3379.442627,0
